time,ticker,action,quantity,price
2025-01-03,AAPL,SELL,535.0,243.36
2025-01-03,MU,BUY,446.0,87.95
2025-01-03,NFLX,BUY,1053.0,89.31
2025-01-03,NVDA,BUY,456.0,140.01
2025-01-03,QQQ,SELL,267.0,513.35
2025-01-03,V,SELL,456.0,314.18
2025-01-06,AAPL,SELL,544.0,244.31
2025-01-06,MU,BUY,436.0,95.57
2025-01-06,NFLX,BUY,1073.0,88.88
2025-01-06,NVDA,BUY,424.0,148.59
2025-01-06,QQQ,SELL,259.0,524.02
2025-01-06,V,SELL,463.0,315.01
2025-01-07,MU,SELL,0.0,103.41
2025-01-07,AAPL,SELL,547.0,242.98
2025-01-07,AMD,BUY,472.0,130.51
2025-01-07,NFLX,BUY,1089.0,87.94
2025-01-07,NVDA,BUY,407.0,153.03
2025-01-07,QQQ,SELL,257.0,525.59
2025-01-07,V,SELL,470.0,312.89
2025-01-08,AMD,SELL,0.0,124.51
2025-01-08,AAPL,SELL,553.0,241.92
2025-01-08,NFLX,BUY,1108.0,88.0
2025-01-08,NVDA,BUY,400.0,142.58
2025-01-08,QQQ,SELL,255.0,515.08
2025-01-08,V,SELL,478.0,311.0
2025-01-08,WMT,BUY,1519.0,91.11
2025-01-10,WMT,SELL,0.0,92.49
2025-01-10,AAPL,SELL,560.0,240.01
2025-01-10,AMD,BUY,494.0,118.18
2025-01-10,NFLX,BUY,1129.0,86.64
2025-01-10,NVDA,BUY,407.0,137.45
2025-01-10,QQQ,SELL,259.0,511.48
2025-01-10,V,SELL,483.0,311.2
2025-01-13,QQQ,BUY,0.0,501.2
2025-01-13,AAPL,BUY,0.0,233.53
2025-01-13,AMD,BUY,504.0,115.28
2025-01-13,IVV,SELL,307.0,578.51
2025-01-13,NFLX,BUY,1071.0,83.15
2025-01-13,NVDA,BUY,418.0,129.99
2025-01-13,SPY,SELL,311.0,575.77
2025-01-13,V,SELL,480.0,305.0
2025-01-14,AMD,BUY,503.0,118.0
2025-01-14,IVV,SELL,311.0,587.14
2025-01-14,NFLX,BUY,1084.0,84.32
2025-01-14,NVDA,BUY,429.0,136.05
2025-01-14,SPY,SELL,316.0,584.36
2025-01-14,V,SELL,488.0,308.75
2025-01-15,NFLX,SELL,0.0,83.64
2025-01-15,AMD,BUY,516.0,117.55
2025-01-15,IVV,SELL,316.0,593.18
2025-01-15,NVDA,BUY,440.0,133.65
2025-01-15,SPY,SELL,320.0,590.33
2025-01-15,V,SELL,489.0,313.68
2025-01-15,WMT,BUY,1502.0,91.07
